Palabras Spam No_spam Total
aah 0 1 1
aaniye 0 1 1
aaooooright 0 1 1
aathi 0 5 5
abbey 0 1 1
abeg 0 1 1
abel 0 1 1
aberdeen 1 0 1
abi 0 2 2
ability 0 2 2
abiola 0 10 10
abj 0 1 1
able 0 16 16
abnormally 0 1 1
about 7 84 91
aboutas 0 1 1
above 0 1 1
abroad 1 0 1
abt 0 16 16
abta 2 0 2
aburo 0 2 2
abusers 0 1 1
acc 0 4 4
accenture 0 1 1
accept 0 4 4
access 3 2 5
accidant 0 1 1
accident 0 1 1
accidentally 0 2 2
accommodation 1 0 1
accomodate 0 1 1
accomodations 0 1 1
accordin 0 1 1
accordingly 0 2 2
account 9 12 21
accounts 0 1 1
accumulation 0 1 1
ache 0 2 2
achieve 0 1 1
acid 0 1 1
acknowledgement 0 1 1
acl 1 0 1
acnt 0 1 1
aco 1 0 1
across 0 7 7
act 0 1 1
actin 0 1 1
acting 0 2 2
action 3 0 3
activate 4 1 5
active 1 0 1
activities 0 1 1
actor 0 2 2
actually 0 18 18
adam 2 0 2
add 0 4 4
addamsfa 2 0 2
added 0 2 2
addicted 0 2 2
addie 0 1 1
address 4 10 14
adewale 0 1 1
admin 0 1 1
administrator 0 1 1
admirer 7 0 7
admit 0 2 2
adore 0 1 1
adoring 0 1 1
adrian 1 0 1
ads 2 0 2
adult 2 1 3
adults 0 1 1
advance 0 6 6
adventure 0 1 1
advice 0 2 2
advise 3 0 3
aeronautics 0 2 2
aeroplane 0 2 2
affair 0 1 1
affection 0 4 4
affectionate 0 1 1
affections 0 1 1
affidavit 0 1 1
afford 0 1 1
afghanistan 0 1 1
afraid 1 2 3
african 0 1 1
aft 0 15 15
after 3 55 58
afternon 0 1 1
afternoon 0 20 20
afternoons 0 1 1
aftr 0 5 5
again 2 40 42
against 0 8 8
agalla 0 1 1
age 17 2 19
agent 1 0 1
agents 0 1 1
ages 1 2 3
agidhane 0 1 1
aging 0 1 1
ago 0 8 8
agree 0 1 1
aha 0 2 2
ahead 0 7 7
ahhh 0 1 1
ahmad 0 3 3
ahold 0 1 1
aid 0 1 1
aids 0 1 1
aig 0 1 1
aight 0 20 20
ain 0 3 3
aint 0 3 3
air 0 6 6
airport 0 3 3
aiya 0 3 3
aiyah 0 5 5
aiyar 0 1 1
aiyo 0 3 3
aka 0 2 2
alaipayuthe 0 1 1
album 0 2 2
alcohol 0 3 3
alert 3 0 3
alertfrom 1 0 1
alerts 1 0 1
alex 0 6 6
alfie 1 0 1
algarve 2 0 2
algorithms 0 1 1
ali 0 1 1
alian 0 1 1
alibi 0 1 1
alive 0 2 2
all 20 152 172
allah 0 2 2
allo 0 1 1
allow 1 0 1
allowed 0 1 1
almost 0 11 11
alone 3 6 9
along 1 0 1
already 1 58 59
alright 0 18 18
alrite 0 5 5
also 2 46 48
alter 0 1 1
alternative 0 1 1
although 0 1 1
aluable 0 1 1
alwa 0 1 1
always 0 40 40
alwys 0 2 2
amazing 1 1 2
ambitious 0 1 1
ambrith 0 1 1
american 0 2 2
ami 0 1 1
amigos 0 1 1
amk 0 1 1
amla 0 1 1
ammo 0 1 1
among 1 0 1
amongst 0 2 2
amore 1 0 1
amount 0 1 1
amp 0 47 47
amplikater 0 1 1
ams 0 1 1
amt 0 3 3
amy 0 1 1
ana 0 1 1
anal 0 1 1
analysis 0 1 1
anand 0 1 1
and 81 452 533
andrews 0 1 1
andros 0 2 2
angels 0 1 1
angry 0 7 7
animal 0 1 1
anjie 0 1 1
anjola 0 1 1
anna 0 1 1
annie 0 1 1
anniversary 0 1 1
annoncement 1 0 1
announced 0 1 1
announcement 3 0 3
annoyin 0 1 1
annoying 0 2 2
anot 0 1 1
another 0 24 24
ans 4 3 7
ansr 4 0 4
answer 5 9 14
answered 0 2 2
answering 0 2 2
answers 0 2 2
answr 0 1 1
antha 0 1 1
anthony 0 2 2
anti 0 3 3
any 12 70 82
anybody 0 4 4
anyhow 0 1 1
anymore 0 8 8
anyone 1 11 12
anyplaces 0 1 1
anythin 0 1 1
anything 0 37 37
anythingtomorrow 0 1 1
anytime 7 2 9
anyway 0 14 14
anyways 0 4 4
anywhere 0 3 3
aom 1 0 1
apart 0 2 2
apartment 0 7 7
apes 0 1 1
apeshit 0 1 1
aphex 0 1 1
apo 0 1 1
apologetic 0 1 1
apologise 0 2 2
apologize 0 1 1
app 3 1 4
apparently 0 3 3
appeal 0 1 1
appear 0 1 1
appendix 0 1 1
applausestore 1 0 1
applebees 0 1 1
apples 0 1 1
application 0 1 1
apply 19 2 21
applying 0 1 1
appointment 0 4 4
appointments 0 1 1
appreciate 0 4 4
appreciated 0 1 1
approaches 0 1 1
approaching 0 1 1
appropriate 0 1 1
approx 1 1 2
apps 0 2 2
appt 0 3 3
apr 1 0 1
april 0 4 4
aproach 0 1 1
apt 0 1 1
aptitude 0 1 1
arabian 0 1 1
arcade 1 0 1
ard 0 13 13
are 49 238 287
area 6 3 9
aren 0 2 2
arent 0 2 2
arestaurant 0 1 1
aretaking 0 1 1
areyouunique 1 0 1
argentina 0 1 1
argh 0 2 2
argue 0 2 2
arguing 0 1 1
argument 0 4 4
arguments 0 1 1
aries 1 0 1
arise 0 1 1
arithmetic 0 1 1
arm 0 1 1
armand 0 1 1
armenia 0 1 1
arms 0 2 2
arng 0 2 2
arngd 0 1 1
arnt 0 1 1
around 2 36 38
aroundn 0 1 1
arr 0 1 1
arrange 2 2 4
arranging 0 1 1
arrested 0 4 4
arrival 0 1 1
arrive 4 1 5
arrived 0 1 1
arrow 1 0 1
arsenal 1 0 1
art 0 1 1
artists 1 0 1
arts 0 1 1
arty 0 1 1
arul 0 1 1
arun 0 2 2
asa 0 1 1
asap 6 2 8
ashley 0 1 1
asjesus 1 0 1
ask 0 48 48
