Palabras Spam No_spam Total
able 2 2 4
about 2 4 6
after 2 1 3
again 3 1 4
all 8 6 14
alternative 1 1 2
and 63 31 94
any 6 4 10
are 12 6 18
around 1 3 4
available 3 1 4
back 1 4 5
because 5 4 9
been 3 5 8
being 1 2 3
below 3 2 5
best 5 4 9
better 1 3 4
between 3 1 4
bin 4 3 7
both 1 1 2
burner 1 1 2
but 3 9 12
can 10 16 26
cell 3 1 4
cgi 8 4 12
click 8 2 10
com 15 11 26
copy 1 1 2
cost 1 1 2
could 3 3 6
creating 1 1 2
current 2 1 3
daily 4 1 5
dcx 1 1 2
decent 1 1 2
did 2 1 3
different 1 2 3
does 1 1 2
doing 1 2 3
don 3 2 5
download 1 1 2
during 2 1 3
dvd 2 2 4
dvdcopyxp 1 1 2
each 2 1 3
email 1 6 7
enough 2 1 3
enter 2 2 4
even 1 2 3
every 2 1 3
exact 1 1 2
experience 2 1 3
few 3 2 5
find 1 1 2
first 3 2 5
for 25 17 42
fraction 1 1 2
free 8 2 10
from 12 8 20
future 2 1 3
get 8 7 15
give 1 1 2
good 1 4 5
had 4 5 9
hand 1 1 2
has 2 3 5
have 6 10 16
here 4 5 9
his 1 1 2
how 2 2 4
http 16 24 40
immediately 1 1 2
important 1 1 2
interested 1 2 3
internet 2 1 3
into 2 5 7
itself 1 1 2
july 1 1 2
just 9 5 14
keep 1 1 2
know 2 2 4
learn 1 10 11
like 1 11 12
limited 1 1 2
link 4 1 5
list 2 2 4
looked 1 1 2
low 1 1 2
make 5 1 6
marketing 1 1 2
may 1 5 6
maybe 1 1 2
more 9 5 14
much 2 1 3
must 2 1 3
need 3 3 6
needed 1 1 2
net 5 3 8
never 1 3 4
new 7 2 9
news 1 1 2
newsletter 1 1 2
not 6 8 14
now 7 3 10
old 1 2 3
one 4 6 10
online 3 2 5
only 4 3 7
opened 1 1 2
org 1 34 35
original 2 1 3
other 5 5 10
our 3 1 4
out 6 6 12
own 4 3 7
people 2 2 4
personal 2 1 3
please 2 1 3
price 2 1 3
probably 2 2 4
quite 1 1 2
random 1 1 2
rates 2 1 3
real 3 2 5
really 3 2 5
received 1 1 2
remember 1 1 2
remove 5 1 6
said 1 1 2
same 4 5 9
second 1 1 2
see 6 2 8
seen 3 1 4
should 1 3 4
show 3 2 5
small 1 1 2
some 3 6 9
something 2 2 4
spambites 1 1 2
spambytes 1 1 2
spend 1 1 2
start 2 1 3
stoolmail 1 1 2
subscribed 1 2 3
such 2 3 5
suddenlysusan 1 1 2
take 5 1 6
tell 1 1 2
than 3 2 5
that 21 29 50
the 83 80 163
their 2 1 3
them 3 2 5
then 3 5 8
there 2 6 8
these 4 1 5
they 2 5 7
thing 2 1 3
things 1 1 2
think 1 2 3
this 20 16 36
time 9 6 15
too 2 2 4
true 3 2 5
tuesday 1 1 2
two 4 4 8
under 1 1 2
unsubscribe 1 10 11
upwards 1 1 2
use 3 13 16
uses 1 1 2
very 2 1 3
was 9 6 15
way 2 4 6
what 2 6 8
when 3 3 6
which 1 5 6
while 1 3 4
why 6 1 7
will 9 7 16
with 18 18 36
without 3 1 4
won 1 1 2
work 1 1 2
works 1 2 3
would 1 2 3
www 9 10 19
yeah 1 1 2
yes 1 1 2
yet 2 1 3
you 55 30 85
your 20 11 31
zzn 1 1 2
Total 829 781 1610
